GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059052428,06059052428,"Census Tract 524.28, Orange County, California",135398,22379
1400000US06059052502,06059052502,"Census Tract 525.02, Orange County, California",102844,14180
1400000US06059052505,06059052505,"Census Tract 525.05, Orange County, California",68467,8736
1400000US06059052506,06059052506,"Census Tract 525.06, Orange County, California",123203,13089
1400000US06059052511,06059052511,"Census Tract 525.11, Orange County, California",128910,25942
1400000US06059052513,06059052513,"Census Tract 525.13, Orange County, California",95976,11139
1400000US06059052514,06059052514,"Census Tract 525.14, Orange County, California",80234,11305
1400000US06059052515,06059052515,"Census Tract 525.15, Orange County, California",103668,12421
1400000US06059052517,06059052517,"Census Tract 525.17, Orange County, California",99107,11682
1400000US06059052518,06059052518,"Census Tract 525.18, Orange County, California",93801,11737
1400000US06059052519,06059052519,"Census Tract 525.19, Orange County, California",93511,11069
1400000US06059052520,06059052520,"Census Tract 525.20, Orange County, California",92287,18833
1400000US06059052521,06059052521,"Census Tract 525.21, Orange County, California",71356,10979
1400000US06059052522,06059052522,"Census Tract 525.22, Orange County, California",121667,15456
1400000US06059052523,06059052523,"Census Tract 525.23, Orange County, California",113889,19837
1400000US06059052524,06059052524,"Census Tract 525.24, Orange County, California",84556,11121
1400000US06059052525,06059052525,"Census Tract 525.25, Orange County, California",86977,11139
1400000US06059052526,06059052526,"Census Tract 525.26, Orange County, California",114964,19237
1400000US06059052527,06059052527,"Census Tract 525.27, Orange County, California",107115,12790
1400000US06059052528,06059052528,"Census Tract 525.28, Orange County, California",101125,19039
1400000US06059062604,06059062604,"Census Tract 626.04, Orange County, California",118529,18216
1400000US06059062605,06059062605,"Census Tract 626.05, Orange County, California",73990,16963
1400000US06059062610,06059062610,"Census Tract 626.10, Orange County, California",84502,16263
1400000US06059062611,06059062611,"Census Tract 626.11, Orange County, California",61042,14722
1400000US06059062612,06059062612,"Census Tract 626.12, Orange County, California",100250,23222
1400000US06059062614,06059062614,"Census Tract 626.14, Orange County, California",41361,9142
1400000US06059062619,06059062619,"Census Tract 626.19, Orange County, California",110865,36015
1400000US06059062620,06059062620,"Census Tract 626.20, Orange County, California",165464,24966
1400000US06059062621,06059062621,"Census Tract 626.21, Orange County, California",95323,13067
1400000US06059062622,06059062622,"Census Tract 626.22, Orange County, California",38581,4302
1400000US06059062625,06059062625,"Census Tract 626.25, Orange County, California",46553,6446
1400000US06059062626,06059062626,"Census Tract 626.26, Orange County, California",24211,6419
1400000US06059062627,06059062627,"Census Tract 626.27, Orange County, California",44881,10552
1400000US06059062628,06059062628,"Census Tract 626.28, Orange County, California",103438,19638
1400000US06059062629,06059062629,"Census Tract 626.29, Orange County, California",132188,17775
1400000US06059062630,06059062630,"Census Tract 626.30, Orange County, California",114698,24951
1400000US06059062631,06059062631,"Census Tract 626.31, Orange County, California",142232,33292
1400000US06059062632,06059062632,"Census Tract 626.32, Orange County, California",122824,23637
1400000US06059062633,06059062633,"Census Tract 626.33, Orange County, California",163514,13483
1400000US06059062634,06059062634,"Census Tract 626.34, Orange County, California",116886,13636
1400000US06059062635,06059062635,"Census Tract 626.35, Orange County, California",125469,14824
1400000US06059062636,06059062636,"Census Tract 626.36, Orange County, California",96815,15258
1400000US06059062637,06059062637,"Census Tract 626.37, Orange County, California",78950,9046
1400000US06059062638,06059062638,"Census Tract 626.38, Orange County, California",107289,10553
1400000US06059062639,06059062639,"Census Tract 626.39, Orange County, California",113984,22223
1400000US06059062640,06059062640,"Census Tract 626.40, Orange County, California",86116,7666
1400000US06059062641,06059062641,"Census Tract 626.41, Orange County, California",83214,14071
1400000US06059062642,06059062642,"Census Tract 626.42, Orange County, California",138902,23719
1400000US06059062643,06059062643,"Census Tract 626.43, Orange County, California","250,000+",***
1400000US06059062644,06059062644,"Census Tract 626.44, Orange County, California",152258,21881
1400000US06059062645,06059062645,"Census Tract 626.45, Orange County, California",191375,42854
1400000US06059062646,06059062646,"Census Tract 626.46, Orange County, California",39563,4731
1400000US06059062647,06059062647,"Census Tract 626.47, Orange County, California",40694,11325
1400000US06059062648,06059062648,"Census Tract 626.48, Orange County, California",43656,6895
1400000US06059062649,06059062649,"Census Tract 626.49, Orange County, California",50236,5220
1400000US06059062701,06059062701,"Census Tract 627.01, Orange County, California",135000,55327
1400000US06059062702,06059062702,"Census Tract 627.02, Orange County, California",134648,29906
1400000US06059062800,06059062800,"Census Tract 628, Orange County, California",103538,13371
1400000US06059062900,06059062900,"Census Tract 629, Orange County, California",173000,27088
1400000US06059063004,06059063004,"Census Tract 630.04, Orange County, California",82245,11424
1400000US06059063005,06059063005,"Census Tract 630.05, Orange County, California",126731,24142
1400000US06059063006,06059063006,"Census Tract 630.06, Orange County, California",97591,28085
1400000US06059063007,06059063007,"Census Tract 630.07, Orange County, California",120848,20140
